configuration,path_group,n_sessions,n_samples,weighted_output_change_fraction_vs_2s,session_median_change_fraction,session_q1_change_fraction,session_q3_change_fraction,conflict_sample_fraction
no_window,all,29,45560,0.078907,0.015531,0.005565,0.032713,0.049363
no_window,ADB-like,27,40119,0.018196,0.015531,0.005951,0.031922,0.048256
no_window,browser-compatible,2,5441,0.526558,0.4775,0.23875,0.71625,0.057526
legacy_21_samples,all,29,45560,0.023617,0.015667,0.0074,0.042388,0.070127
legacy_21_samples,ADB-like,27,40119,0.025649,0.015992,0.007916,0.044132,0.06062
legacy_21_samples,browser-compatible,2,5441,0.008638,0.007833,0.003917,0.01175,0.140232
time_window_0.5s,all,29,45560,0.029456,0.013805,0.005495,0.030457,0.060667
time_window_0.5s,ADB-like,27,40119,0.017473,0.013805,0.005915,0.029428,0.050126
time_window_0.5s,browser-compatible,2,5441,0.117809,0.10691,0.053865,0.159955,0.138394
time_window_1s,all,29,45560,0.018042,0.011828,0.004228,0.025261,0.063762
time_window_1s,ADB-like,27,40119,0.014382,0.011828,0.004251,0.024847,0.053441
time_window_1s,browser-compatible,2,5441,0.045028,0.040833,0.020417,0.06125,0.139864
time_window_2s,all,29,45560,0,0,0,0,0.06745
time_window_2s,ADB-like,27,40119,0,0,0,0,0.057604
time_window_2s,browser-compatible,2,5441,0,0,0,0,0.140048
time_window_4s,all,29,45560,0.01813,0.011289,0.006912,0.031677,0.068942
time_window_4s,ADB-like,27,40119,0.017697,0.011289,0.007156,0.029842,0.059523
time_window_4s,browser-compatible,2,5441,0.02132,0.019333,0.009667,0.029,0.138394
priority_moderate_before_smooth,all,29,45560,0.012116,0,0,0,0.06745
priority_moderate_before_smooth,ADB-like,27,40119,0,0,0,0,0.057604
priority_moderate_before_smooth,browser-compatible,2,5441,0.101452,0.092,0.046,0.138,0.140048
priority_low_before_acceleration,all,29,45560,0,0,0,0,0.06745
priority_low_before_acceleration,ADB-like,27,40119,0,0,0,0,0.057604
priority_low_before_acceleration,browser-compatible,2,5441,0,0,0,0,0.140048
circular_euler_range,all,29,45560,0,0,0,0,0.06745
circular_euler_range,ADB-like,27,40119,0,0,0,0,0.057604
circular_euler_range,browser-compatible,2,5441,0,0,0,0,0.140048
