session_id,automatic_offset_s,correlation_r,peak_margin,automatic_overlap_s,selected,selection_reason,paired_bins,confirmed_offset_A_s,confirmed_offset_B_s
S015,196,0.801,0.081,53,true,retained,50,196,196
S017,139,0.523,0.085,79,true,retained,76,139,139
S018,123,0.588,0.343,137,true,retained,131,123,123
S019,47,0.408,0.222,166,false,correlation_below_0.45,0,,
S020,169,0.637,0.201,123,true,retained,118,169,169
S021,65,0.594,0.121,64,true,retained,63,68,68
S022,46,0.572,0.208,84,true,retained,82,46,46
S023,162,0.68,0.068,59,false,peak_margin_below_0.08,0,,
S024,61,0.496,0.051,55,false,peak_margin_below_0.08,0,,
S025,84,0.49,0.004,66,false,peak_margin_below_0.08,0,,
S026,4,0.703,0.102,48,true,retained,47,4,4
S027,0,0.755,0.024,42,false,peak_margin_below_0.08,0,,
S028,124,0.701,0.071,40,false,peak_margin_below_0.08,0,,
S029,154,0.633,0.012,31,false,peak_margin_below_0.08,0,,
S030,120,0.648,0.085,31,true,retained,30,120,120
S031,131,0.817,0.026,34,false,peak_margin_below_0.08,0,,
S032,458,0.898,0.177,34,true,retained,32,458,458
S033,78,0.703,0.091,33,true,retained,32,78,78
S034,216,0.733,0.019,33,false,peak_margin_below_0.08,0,,
