session_id,interface_file_present,review_mode,machine_and_prior_label_columns_visible,alignment_panel_hidden_after_confirmation,interpretation
S015,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S017,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S018,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S020,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S021,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S022,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S026,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S030,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S032,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
S033,true,false,false,true,Archived interface settings masked machine/prior-label columns during first-pass labeling; embedded machine values remained in the page source and export schema.
