session_id,rater,final_offset_s,manual_nudge_recorded,nudge_token_count,alignment_confirmed,blind_mode_exported,saw_machine_self_report,independent_self_report,source_sha256
S015,A,196,false,0,true,1,0,1,f864fc6dea6a35de3980cf16804c205ed847eb30f2d72d9fe2dc4a0273783710
S017,A,139,false,0,true,1,0,1,0f5a23011d8e6dfe5e999c2d448e7db2ebc4ca0581a2f2915b7854337d7dd9b7
S018,A,123,false,0,true,1,0,1,6b9c7fcaee0c2f2e746abec12d3fb1a02b8f99eb96f197bbd3aefa50ed89a6d9
S020,A,169,false,0,true,1,0,1,fab20c6ef7c835e616bafb65b60c0a10a3828739e8ad9399a33dbaea7c49f52e
S021,A,68,true,23,true,1,0,1,004034cc3995d953a47605fe28e02e4f492d152cb1f2752de531b6854d672b18
S022,A,46,false,0,true,1,0,1,0408e83fb9fa7f4853095635c85ee012809df3f35dc335199836aacc2f7bad2e
S026,A,4,false,0,true,1,0,1,f699c6c578ccd4a072ebd58aed7584df8373e43ab631ea8cc4ee56a19be62171
S030,A,120,false,0,true,1,0,1,c5629339841bad42d42fc4bebc2d5e1336ba9c53a007772ca49d3d3d6380c51b
S032,A,458,false,0,true,1,0,1,95cc7667727b2e158c5abe0d7c426267fd9d8dd78c3d32b3f4bd58b34cc6cddf
S033,A,78,false,0,true,1,0,1,64d96c992ae96469084cc32cc301f5c26a0aa64e3caf48db934d1f1b152ffc12
S015,B,196,false,0,true,1,0,1,1d8d00a4cc8384fe172874c371dfd90469f7099bc411db185d1fd3d0777df66f
S017,B,139,false,0,true,1,0,1,87a5d681cbc2880b70939fb7ae2db7eb642950ab83e5af722e4de49094b51048
S018,B,123,false,0,true,1,0,1,2df78c3be4df13584f3bd4fd3b9fd2411fa66a473ad29269810f69348fe93f61
S020,B,169,false,0,true,1,0,1,043c4869fa5d65a50b3adf0b073f1b240509ca584b53570fcf85f02d805d9b0e
S021,B,68,true,23,true,1,0,1,42441721eacb8a3c9ba800124a883b76b2b7770e7a454f4b85f2f30b4b2c8f41
S022,B,46,false,0,true,1,0,1,77a311b4ce03f0df12c408f999352a06ccc276e61b29d090bdfffed43f311e08
S026,B,4,false,0,true,1,0,1,0b1f105e1b5538eb6eeb47bb1c94c42b85f936317f905ac3c3858ee6c726bef6
S030,B,120,false,0,true,1,0,1,447c30ca2548c7f56049b577be3df5ec482710c3e043d162b051540c13780bb9
S032,B,458,false,0,true,1,0,1,323fffc3d5022533f9eebd493290f5babf44ebfe6737f58ed021b702b884cf35
S033,B,78,false,0,true,1,0,1,498743d4451e5a95dfdc9ca5885fa314b19a9505f7ac0746db56e76d1148b1d1
