session_id,path_group,n_samples,euler_channel_usable,range_changed_sample_count,range_changed_sample_fraction,maximum_arithmetic_range_deg,maximum_circular_range_deg,maximum_range_reduction_deg,rule_output_changed_count,rule_output_changed_fraction
S001,browser-compatible,3000,true,209,0.069667,359.48,188.65,355.22,0,0
S005,ADB-like,2016,false,0,0,,,0,0,0
S006,ADB-like,1879,false,0,0,,,0,0,0
S007,ADB-like,1736,false,0,0,,,0,0,0
S008,ADB-like,1860,false,0,0,,,0,0,0
S009,browser-compatible,2441,false,0,0,,,0,0,0
S010,ADB-like,1821,false,0,0,,,0,0,0
S011,ADB-like,1638,false,0,0,,,0,0,0
S013,ADB-like,1450,false,0,0,,,0,0,0
S014,ADB-like,1831,false,0,0,,,0,0,0
S015,ADB-like,946,false,0,0,,,0,0,0
S017,ADB-like,1159,false,0,0,,,0,0,0
S018,ADB-like,1178,false,0,0,,,0,0,0
S019,ADB-like,1136,false,0,0,,,0,0,0
S020,ADB-like,1063,false,0,0,,,0,0,0
S021,ADB-like,1163,false,0,0,,,0,0,0
S022,ADB-like,1114,false,0,0,,,0,0,0
S023,ADB-like,1134,false,0,0,,,0,0,0
S024,ADB-like,1146,false,0,0,,,0,0,0
S025,ADB-like,1156,false,0,0,,,0,0,0
S026,ADB-like,1080,false,0,0,,,0,0,0
S027,ADB-like,1837,false,0,0,,,0,0,0
S028,ADB-like,968,false,0,0,,,0,0,0
S029,ADB-like,1814,false,0,0,,,0,0,0
S030,ADB-like,1887,false,0,0,,,0,0,0
S031,ADB-like,1808,false,0,0,,,0,0,0
S032,ADB-like,1797,false,0,0,,,0,0,0
S033,ADB-like,1773,false,0,0,,,0,0,0
S034,ADB-like,1729,false,0,0,,,0,0,0
