session_id,path_group,taxonomy,output,assigned_count,session_samples
S001,browser-compatible,six,rapid_turn_rule,24,3000
S001,browser-compatible,six,smooth_turn_rule,1002,3000
S001,browser-compatible,six,moderate_turn_rule,2,3000
S001,browser-compatible,six,acceleration_excursion_rule,28,3000
S001,browser-compatible,six,low_motion_rule,92,3000
S001,browser-compatible,six,residual_rule_output,1852,3000
S001,browser-compatible,three,low_head_motion,1970,3000
S001,browser-compatible,three,ordinary_head_motion,1006,3000
S001,browser-compatible,three,rapid_head_motion,24,3000
S005,ADB-like,six,rapid_turn_rule,44,2016
S005,ADB-like,six,smooth_turn_rule,0,2016
S005,ADB-like,six,moderate_turn_rule,457,2016
S005,ADB-like,six,acceleration_excursion_rule,38,2016
S005,ADB-like,six,low_motion_rule,0,2016
S005,ADB-like,six,residual_rule_output,1477,2016
S005,ADB-like,three,low_head_motion,1261,2016
S005,ADB-like,three,ordinary_head_motion,711,2016
S005,ADB-like,three,rapid_head_motion,44,2016
S006,ADB-like,six,rapid_turn_rule,76,1879
S006,ADB-like,six,smooth_turn_rule,0,1879
S006,ADB-like,six,moderate_turn_rule,347,1879
S006,ADB-like,six,acceleration_excursion_rule,50,1879
S006,ADB-like,six,low_motion_rule,0,1879
S006,ADB-like,six,residual_rule_output,1406,1879
S006,ADB-like,three,low_head_motion,1221,1879
S006,ADB-like,three,ordinary_head_motion,582,1879
S006,ADB-like,three,rapid_head_motion,76,1879
S007,ADB-like,six,rapid_turn_rule,50,1736
S007,ADB-like,six,smooth_turn_rule,0,1736
S007,ADB-like,six,moderate_turn_rule,641,1736
S007,ADB-like,six,acceleration_excursion_rule,97,1736
S007,ADB-like,six,low_motion_rule,0,1736
S007,ADB-like,six,residual_rule_output,948,1736
S007,ADB-like,three,low_head_motion,774,1736
S007,ADB-like,three,ordinary_head_motion,912,1736
S007,ADB-like,three,rapid_head_motion,50,1736
S008,ADB-like,six,rapid_turn_rule,64,1860
S008,ADB-like,six,smooth_turn_rule,0,1860
S008,ADB-like,six,moderate_turn_rule,359,1860
S008,ADB-like,six,acceleration_excursion_rule,50,1860
S008,ADB-like,six,low_motion_rule,0,1860
S008,ADB-like,six,residual_rule_output,1387,1860
S008,ADB-like,three,low_head_motion,1248,1860
S008,ADB-like,three,ordinary_head_motion,548,1860
S008,ADB-like,three,rapid_head_motion,64,1860
S009,browser-compatible,six,rapid_turn_rule,23,2441
S009,browser-compatible,six,smooth_turn_rule,0,2441
S009,browser-compatible,six,moderate_turn_rule,546,2441
S009,browser-compatible,six,acceleration_excursion_rule,56,2441
S009,browser-compatible,six,low_motion_rule,0,2441
S009,browser-compatible,six,residual_rule_output,1816,2441
S009,browser-compatible,three,low_head_motion,1564,2441
S009,browser-compatible,three,ordinary_head_motion,854,2441
S009,browser-compatible,three,rapid_head_motion,23,2441
S010,ADB-like,six,rapid_turn_rule,93,1821
S010,ADB-like,six,smooth_turn_rule,0,1821
S010,ADB-like,six,moderate_turn_rule,394,1821
S010,ADB-like,six,acceleration_excursion_rule,37,1821
S010,ADB-like,six,low_motion_rule,0,1821
S010,ADB-like,six,residual_rule_output,1297,1821
S010,ADB-like,three,low_head_motion,1147,1821
S010,ADB-like,three,ordinary_head_motion,581,1821
S010,ADB-like,three,rapid_head_motion,93,1821
S011,ADB-like,six,rapid_turn_rule,36,1638
S011,ADB-like,six,smooth_turn_rule,0,1638
S011,ADB-like,six,moderate_turn_rule,374,1638
S011,ADB-like,six,acceleration_excursion_rule,83,1638
S011,ADB-like,six,low_motion_rule,0,1638
S011,ADB-like,six,residual_rule_output,1145,1638
S011,ADB-like,three,low_head_motion,961,1638
S011,ADB-like,three,ordinary_head_motion,641,1638
S011,ADB-like,three,rapid_head_motion,36,1638
S013,ADB-like,six,rapid_turn_rule,3,1450
S013,ADB-like,six,smooth_turn_rule,0,1450
S013,ADB-like,six,moderate_turn_rule,170,1450
S013,ADB-like,six,acceleration_excursion_rule,29,1450
S013,ADB-like,six,low_motion_rule,0,1450
S013,ADB-like,six,residual_rule_output,1248,1450
S013,ADB-like,three,low_head_motion,1113,1450
S013,ADB-like,three,ordinary_head_motion,334,1450
S013,ADB-like,three,rapid_head_motion,3,1450
S014,ADB-like,six,rapid_turn_rule,124,1831
S014,ADB-like,six,smooth_turn_rule,0,1831
S014,ADB-like,six,moderate_turn_rule,509,1831
S014,ADB-like,six,acceleration_excursion_rule,57,1831
S014,ADB-like,six,low_motion_rule,0,1831
S014,ADB-like,six,residual_rule_output,1141,1831
S014,ADB-like,three,low_head_motion,963,1831
S014,ADB-like,three,ordinary_head_motion,744,1831
S014,ADB-like,three,rapid_head_motion,124,1831
S015,ADB-like,six,rapid_turn_rule,18,946
S015,ADB-like,six,smooth_turn_rule,0,946
S015,ADB-like,six,moderate_turn_rule,111,946
S015,ADB-like,six,acceleration_excursion_rule,0,946
S015,ADB-like,six,low_motion_rule,0,946
S015,ADB-like,six,residual_rule_output,817,946
S015,ADB-like,three,low_head_motion,756,946
S015,ADB-like,three,ordinary_head_motion,172,946
S015,ADB-like,three,rapid_head_motion,18,946
S017,ADB-like,six,rapid_turn_rule,42,1159
