session_id,path_group,n_samples,legacy_vs_primary_count,matched_vs_primary_count,reset_only_change_count
S001,browser-compatible,3000,47,47,0
S005,ADB-like,2016,17,17,0
S006,ADB-like,1879,54,54,0
S007,ADB-like,1736,15,15,0
S008,ADB-like,1860,43,43,0
S009,browser-compatible,2441,0,0,0
S010,ADB-like,1821,72,72,0
S011,ADB-like,1638,7,7,0
S013,ADB-like,1450,0,0,0
S014,ADB-like,1831,84,84,0
S015,ADB-like,946,7,7,0
S017,ADB-like,1159,24,24,0
S018,ADB-like,1178,72,64,8
S019,ADB-like,1136,60,58,2
S020,ADB-like,1063,17,15,2
S021,ADB-like,1163,0,0,0
S022,ADB-like,1114,108,93,19
S023,ADB-like,1134,91,89,2
S024,ADB-like,1146,63,54,9
S025,ADB-like,1156,49,43,6
S026,ADB-like,1080,92,89,3
S027,ADB-like,1837,0,0,0
S028,ADB-like,968,13,13,0
S029,ADB-like,1814,0,0,0
S030,ADB-like,1887,24,24,0
S031,ADB-like,1808,13,13,0
S032,ADB-like,1797,16,16,0
S033,ADB-like,1773,64,56,8
S034,ADB-like,1729,24,24,0
