session_id,consent_recorded,consent_evidence_basis,analysis_csv_available,export_id,dated_report_available,report_file_count,included_in_session_analysis,exclusion_reason,mapping_evidence,report_files
S001,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776821554249,true,5,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S001_行为分析报告_2026-04-21-13-14.pdf|IMU_S001_行为分析报告_2026-04-21-13-25.pdf|IMU_S001_行为分析报告_2026-04-21-14-44.pdf|IMU_S001_行为分析报告_2026-04-22-09-32.pdf|IMU_S001_行为分析报告_2026-04-24_10-18.html
S002,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776754772978,true,2,false,CSV export incomplete (8.410 s),Export epoch matched to dated report time; S013/S014 correction applied,IMU_S002_行为分析报告_2026-04-21-15-05.pdf|IMU_S002_行为分析报告_2026-04-21-15-47.pdf
S003,true,Author-provided private consent inventory; source forms are not included in the replication package,false,,false,0,false,No analysis CSV export retained,No corresponding analysis CSV export,
S004,true,Author-provided private consent inventory; source forms are not included in the replication package,false,,false,0,false,No analysis CSV export retained,No corresponding analysis CSV export,
S005,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776824662730,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S005_行为分析报告_2026-04-22-10-24.pdf
S006,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776825800472,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S006_行为分析报告_2026-04-22-10-43.pdf
S007,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776827240332,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S007_行为分析报告_2026-04-22-11-07.pdf
S008,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776828552202,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S008_行为分析报告_2026-04-22-11-29.pdf
S009,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776830107430,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S009_行为分析报告_2026-04-22-11-52.pdf
S010,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776842825545,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S010_行为分析报告_2026-04-22-15-26.pdf
S011,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776844051112,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S011_行为分析报告_2026-04-22-15-47.pdf
S012,true,Author-provided private consent inventory; source forms are not included in the replication package,false,,true,1,false,"Dated PDF report retained, but no corresponding analysis CSV",No corresponding analysis CSV export,IMU_S012_行为分析报告_2026-04-22-16-06.pdf
S013,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776846533989,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S013_行为分析报告_2026-04-22-16-28.pdf
S014,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776847632327,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S014_行为分析报告_2026-04-22-16-47.pdf
S015,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776991265337,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S015_行为分析报告_2026-04-24_08-41.html
S016,true,Author-provided private consent inventory; source forms are not included in the replication package,false,,false,0,false,No analysis CSV export retained,No corresponding analysis CSV export,
S017,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776998386020,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S017_行为分析报告_2026-04-24_10-39.html
S018,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1776999562464,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S018_行为分析报告_2026-04-24_10-59.html
S019,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777000526552,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S019_行为分析报告_2026-04-24_11-15.html
S020,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777002144701,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S020_行为分析报告_2026-04-24_11-42.html
S021,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777010515392,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S021_行为分析报告_2026-04-24_14-01.html
S022,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777011363810,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S022_行为分析报告_2026-04-24_14-15.html
S023,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777012565224,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S023_行为分析报告_2026-04-24_14-35.html
S024,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777013387851,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S024_行为分析报告_2026-04-24_14-49.html
S025,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777014295491,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S025_行为分析报告_2026-04-24_15-04.html
S026,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777017440813,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S026_行为分析报告_2026-04-24_15-57.html
S027,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777019914575,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S027_行为分析报告_2026-04-24_16-38.html
S028,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777022706323,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S028_行为分析报告_2026-04-24_17-24.html
S029,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777023729187,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S029_行为分析报告_2026-04-24_17-41.html
S030,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777024675993,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S030_行为分析报告_2026-04-24_17-57.html
S031,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777025679136,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S031_行为分析报告_2026-04-24_18-14.html
S032,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777026812944,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S032_行为分析报告_2026-04-24_18-33.html
S033,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777027785844,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S033_行为分析报告_2026-04-24_18-49.html
S034,true,Author-provided private consent inventory; source forms are not included in the replication package,true,1777028938686,true,1,true,,Export epoch matched to dated report time; S013/S014 correction applied,IMU_S034_行为分析报告_2026-04-24_19-08.html
