path_group,n_sessions,metric,median,q1,q3,bootstrap_median_ci_low,bootstrap_median_ci_high,minimum,maximum
all,29,duration_s,387.194,325.699,499.362,327.034,489.983,122,539.451
all,29,median_export_rate_hz,3.759398,3.745318,3.773585,3.745318,3.759398,3.649635,20
all,29,dt_cv,0.558843,0.044054,0.56869,0.061291,0.566848,0,0.597399
all,29,maximum_gap_s,1.95,0.382,1.988,0.411,1.976,0.05,2.089
all,29,gap_excluded_span_s,19.425,0,21.515,0,21.512,0,34.384
all,29,acc_frozen_session_fraction,0.172414,,,,,,
ADB-like,27,duration_s,439.913,326.194,500.143,327.034,497.167,266.976,539.451
ADB-like,27,median_export_rate_hz,3.745318,3.745318,3.759398,3.745318,3.759398,3.649635,3.773585
ADB-like,27,dt_cv,0.561182,0.046188,0.569033,0.547177,0.567936,0.024767,0.597399
ADB-like,27,maximum_gap_s,1.955,0.398,1.9895,1.934,1.987,0.299,2.089
ADB-like,27,gap_excluded_span_s,19.797,0,25.996,17.167,21.513,0,34.384
ADB-like,27,acc_frozen_session_fraction,0.185185,,,,,,
browser-compatible,2,duration_s,242.223,182.1115,302.3345,122,362.446,122,362.446
browser-compatible,2,median_export_rate_hz,14.166667,11.25,17.083333,8.333333,20,8.333333,20
browser-compatible,2,dt_cv,0.030646,0.015323,0.045969,0,0.061291,0,0.061291
browser-compatible,2,maximum_gap_s,0.099,0.0745,0.1235,0.05,0.148,0.05,0.148
browser-compatible,2,gap_excluded_span_s,0,0,0,0,0,0,0
browser-compatible,2,acc_frozen_session_fraction,0,,,,,,
