index,doi,manuscript_title,crossref_title,title_similarity,year_match,journal,reference_count,is_referenced_by_count,status,note
1,10.3390/s20247138,Wavelet Decomposition in Analysis of Impact of Virtual Reality Head Mounted Display Systems on Postural Stability,Wavelet Decomposition in Analysis of Impact of Virtual Reality Head Mounted Display Systems on Postural Stability,1.000,True,Sensors,26,18,PASS,Crossref DOI lookup succeeded
2,10.1007/s10055-022-00637-3,Evaluation of the Oculus Rift S Tracking System in Room Scale Virtual Reality,Evaluation of the Oculus Rift S tracking system in room scale virtual reality,1.000,True,Virtual Reality,31,30,PASS,Crossref DOI lookup succeeded
3,10.1007/s10055-022-00732-5,Differences in Virtual and Physical Head Orientation Predict Sickness during Active Head-Mounted Display-Based Virtual Reality,Differences in virtual and physical head orientation predict sickness during active head-mounted display-based virtual reality,1.000,True,Virtual Reality,81,22,PASS,Crossref DOI lookup succeeded
4,10.3390/s19143213,Human Activity Recognition Using Inertial Sensors in a Smartphone: An Overview,Human Activity Recognition Using Inertial Sensors in a Smartphone: An Overview,1.000,True,Sensors,149,205,PASS,Crossref DOI lookup succeeded
5,10.3390/s21196652,Smartphone-Based Human Sitting Behaviors Recognition Using Inertial Sensor,Smartphone-Based Human Sitting Behaviors Recognition Using Inertial Sensor,1.000,True,Sensors,47,26,PASS,Crossref DOI lookup succeeded
6,10.3390/s20030655,"Real-Time Smartphone Activity Classification Using Inertial Sensors: Recognition of Scrolling, Typing, and Watching Videos While Sitting or Walking","Real-time Smartphone Activity Classification Using Inertial Sensors—Recognition of Scrolling, Typing, and Watching Videos While Sitting or Walking",0.990,True,Sensors,39,29,PASS,Crossref DOI lookup succeeded
7,10.3390/s16040426,Complex Human Activity Recognition Using Smartphone and Wrist-Worn Motion Sensors,Complex Human Activity Recognition Using Smartphone and Wrist-Worn Motion Sensors,1.000,True,Sensors,44,366,PASS,Crossref DOI lookup succeeded
8,10.3390/s23249721,Deep Wavelet Convolutional Neural Networks for Multimodal Human Activity Recognition Using Wearable Inertial Sensors,Deep Wavelet Convolutional Neural Networks for Multimodal Human Activity Recognition Using Wearable Inertial Sensors,1.000,True,Sensors,57,19,PASS,Crossref DOI lookup succeeded
9,10.3390/s21227628,Wearable IMU-Based Human Activity Recognition Algorithm for Clinical Balance Assessment Using 1D-CNN and GRU Ensemble Model,Wearable IMU-Based Human Activity Recognition Algorithm for Clinical Balance Assessment Using 1D-CNN and GRU Ensemble Model,1.000,True,Sensors,56,57,PASS,Crossref DOI lookup succeeded
10,10.3390/s23177357,Conformer-Based Human Activity Recognition Using Inertial Measurement Units,Conformer-Based Human Activity Recognition Using Inertial Measurement Units,1.000,True,Sensors,41,15,PASS,Crossref DOI lookup succeeded
11,10.3390/s22103932,Inertial-Measurement-Unit-Based Novel Human Activity Recognition Algorithm Using Conformer,Inertial-Measurement-Unit-Based Novel Human Activity Recognition Algorithm Using Conformer,1.000,True,Sensors,49,30,PASS,Crossref DOI lookup succeeded
12,10.3390/s18092892,Feature Representation and Data Augmentation for Human Activity Classification Based on Wearable IMU Sensor Data Using a Deep LSTM Neural Network,Feature Representation and Data Augmentation for Human Activity Classification Based on Wearable IMU Sensor Data Using a Deep LSTM Neural Network,1.000,True,Sensors,50,215,PASS,Crossref DOI lookup succeeded
13,10.3390/s18124189,Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors,Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors,1.000,True,Sensors,58,64,PASS,Crossref DOI lookup succeeded
14,10.3390/s20247179,IMU-Based Movement Trajectory Heatmaps for Human Activity Recognition,IMU-Based Movement Trajectory Heatmaps for Human Activity Recognition,1.000,True,Sensors,33,16,PASS,Crossref DOI lookup succeeded
15,10.3390/s23010184,Data Valuation Algorithm for Inertial Measurement Unit-Based Human Activity Recognition,Data Valuation Algorithm for Inertial Measurement Unit-Based Human Activity Recognition,1.000,True,Sensors,45,7,PASS,Crossref DOI lookup succeeded
16,10.3390/s20185264,Data Quality and Reliability Assessment of Wearable EMG and IMU Sensor for Construction Activity Recognition,Data Quality and Reliability Assessment of Wearable EMG and IMU Sensor for Construction Activity Recognition,1.000,True,Sensors,64,57,PASS,Crossref DOI lookup succeeded
17,10.3390/s21082747,On the Functional and Extra-Functional Properties of IMU Fusion Algorithms for Body-Worn Smart Sensors,On the Functional and Extra-Functional Properties of IMU Fusion Algorithms for Body-Worn Smart Sensors,1.000,True,Sensors,39,5,PASS,Crossref DOI lookup succeeded
18,10.3390/s18114003,Quaternion-Based Local Frame Alignment between an Inertial Measurement Unit and a Motion Capture System,Quaternion-Based Local Frame Alignment between an Inertial Measurement Unit and a Motion Capture System,1.000,True,Sensors,30,16,PASS,Crossref DOI lookup succeeded
19,10.3390/s23146535,Conversion of Upper-Limb Inertial Measurement Unit Data to Joint Angles: A Systematic Review,Conversion of Upper-Limb Inertial Measurement Unit Data to Joint Angles: A Systematic Review,1.000,True,Sensors,146,58,PASS,Crossref DOI lookup succeeded
20,10.3390/mi13081283,Research on Gradient-Descent Extended Kalman Attitude Estimation Method for Low-Cost MARG,Research on Gradient-Descent Extended Kalman Attitude Estimation Method for Low-Cost MARG,1.000,True,Micromachines,32,7,PASS,Crossref DOI lookup succeeded
21,10.3389/frobt.2021.772583,Calib-Net: Calibrating the Low-Cost IMU via Deep Convolutional Neural Network,Calib-Net: Calibrating the Low-Cost IMU via Deep Convolutional Neural Network,1.000,True,Frontiers in Robotics and AI,27,30,PASS,Crossref DOI lookup succeeded
22,10.3390/s24020686,A Low-Cost Inertial Measurement Unit Motion Capture System for Operation Posture Collection and Recognition,A Low-Cost Inertial Measurement Unit Motion Capture System for Operation Posture Collection and Recognition,1.000,True,Sensors,30,15,PASS,Crossref DOI lookup succeeded
23,10.3390/s23042342,Flight Controller as a Low-Cost IMU Sensor for Human Motion Measurement,Flight Controller as a Low-Cost IMU Sensor for Human Motion Measurement,1.000,True,Sensors,18,4,PASS,Crossref DOI lookup succeeded
24,10.3390/s22051791,Recent State of Wearable IMU Sensors Use in People Living with Spasticity: A Systematic Review,Recent State of Wearable IMU Sensors Use in People Living with Spasticity: A Systematic Review,1.000,True,Sensors,52,24,PASS,Crossref DOI lookup succeeded
25,10.1109/3DUI.2011.5759222,Pointing at 3D Targets in a Stereo Head-Tracked Virtual Environment,Pointing at 3D targets in a stereo head-tracked virtual environment,1.000,True,2011 IEEE Symposium on 3D User Interfaces (3DUI),24,90,PASS,Crossref DOI lookup succeeded
28,10.3390/s17061287,Wearable Sensor Data Classification for Human Activity Recognition Based on an Iterative Learning Framework,Wearable Sensor Data Classification for Human Activity Recognition Based on an Iterative Learning Framework,1.000,True,Sensors,42,31,PASS,Crossref DOI lookup succeeded
29,10.3390/s19030596,Validation of Thigh Angle Estimation Using Inertial Measurement Unit Data against Optical Motion Capture Systems,Validation of Thigh Angle Estimation Using Inertial Measurement Unit Data against Optical Motion Capture Systems,1.000,True,Sensors,15,23,PASS,Crossref DOI lookup succeeded
30,10.3390/s22030956,Drift-Free 3D Orientation and Displacement Estimation for Quasi-Cyclical Movements Using One Inertial Measurement Unit: Application to Running,Drift-Free 3D Orientation and Displacement Estimation for Quasi-Cyclical Movements Using One Inertial Measurement Unit: Application to Running,1.000,True,Sensors,34,16,PASS,Crossref DOI lookup succeeded
