session_id,path_group,n_samples,conflict_sample_fraction,rapid_turn_rule_fraction,smooth_turn_rule_fraction,moderate_turn_rule_fraction,acceleration_excursion_rule_fraction,low_motion_rule_fraction,residual_rule_output_fraction,low_head_motion_fraction,ordinary_head_motion_fraction,rapid_head_motion_fraction
S001,browser-compatible,3000,0.205,0.008,0.334,0.000667,0.009333,0.030667,0.617333,0.656667,0.335333,0.008
S005,ADB-like,2016,0.061012,0.021825,0,0.226687,0.018849,0,0.732639,0.625496,0.352679,0.021825
S006,ADB-like,1879,0.07025,0.040447,0,0.184673,0.02661,0,0.74827,0.649814,0.309739,0.040447
S007,ADB-like,1736,0.13076,0.028802,0,0.36924,0.055876,0,0.546083,0.445853,0.525346,0.028802
S008,ADB-like,1860,0.067204,0.034409,0,0.193011,0.026882,0,0.745699,0.670968,0.294624,0.034409
S009,browser-compatible,2441,0.060221,0.009422,0,0.223679,0.022941,0,0.743957,0.640721,0.349857,0.009422
S010,ADB-like,1821,0.084569,0.051071,0,0.216365,0.020319,0,0.712246,0.629874,0.319055,0.051071
S011,ADB-like,1638,0.100733,0.021978,0,0.228327,0.050672,0,0.699023,0.586691,0.391331,0.021978
S013,ADB-like,1450,0.033103,0.002069,0,0.117241,0.02,0,0.86069,0.767586,0.230345,0.002069
S014,ADB-like,1831,0.131076,0.067723,0,0.27799,0.031131,0,0.623157,0.525942,0.406335,0.067723
S015,ADB-like,946,0.003171,0.019027,0,0.117336,0,0,0.863636,0.799154,0.181818,0.019027
S017,ADB-like,1159,0.012079,0.036238,0,0.197584,0,0,0.766178,0.628991,0.334771,0.036238
S018,ADB-like,1178,0.03056,0.083192,0,0.330221,0,0,0.586587,0.443973,0.472835,0.083192
S019,ADB-like,1136,0.026408,0.102113,0,0.31162,0,0,0.586268,0.427817,0.47007,0.102113
S020,ADB-like,1063,0.011289,0.036689,0,0.236124,0,0,0.727187,0.584196,0.379116,0.036689
S021,ADB-like,1163,0.006879,0.003439,0,0.11178,0,0,0.884781,0.811694,0.184867,0.003439
S022,ADB-like,1114,0.151706,0.14632,0,0.327648,0,0,0.526032,0.386894,0.466786,0.14632
S023,ADB-like,1134,0.118166,0.119048,0,0.263668,0,0,0.617284,0.4903,0.390653,0.119048
S024,ADB-like,1146,0.086387,0.08377,0,0.309773,0,0,0.606457,0.483421,0.43281,0.08377
S025,ADB-like,1156,0.0891,0.061419,0,0.226644,0,0,0.711938,0.599481,0.3391,0.061419
S026,ADB-like,1080,0.131481,0.099074,0,0.413889,0,0,0.487037,0.337963,0.562963,0.099074
S027,ADB-like,1837,0.009799,0.006532,0,0.093631,0,0,0.899837,0.829614,0.163854,0.006532
S028,ADB-like,968,0.007231,0.011364,0,0.068182,0,0,0.920455,0.84814,0.140496,0.011364
S029,ADB-like,1814,0.017089,0.011025,0,0.250827,0,0,0.738148,0.574421,0.414553,0.011025
S030,ADB-like,1887,0.025967,0.021198,0,0.159512,0,0,0.81929,0.670376,0.308426,0.021198
S031,ADB-like,1808,0.03208,0.022124,0,0.262721,0,0,0.715155,0.556969,0.420907,0.022124
S032,ADB-like,1797,0.012243,0.010573,0,0.189204,0,0,0.800223,0.641068,0.348358,0.010573
S033,ADB-like,1773,0.064862,0.064862,0,0.252115,0,0,0.683023,0.513818,0.42132,0.064862
S034,ADB-like,1729,0.027183,0.022556,0,0.180451,0,0,0.796992,0.68074,0.296703,0.022556
