path_group,n_sessions,output,session_median_fraction,session_q1_fraction,session_q3_fraction,session_minimum_fraction,session_maximum_fraction,bootstrap_session_median_ci_low,bootstrap_session_median_ci_high,sample_count_weighted_fraction
all,29,rapid_turn_rule,0.028802,0.011364,0.064862,0.002069,0.14632,0.021198,0.051071,0.037796
all,29,smooth_turn_rule,0,0,0,0,0.334,0,0,0.021993
all,29,moderate_turn_rule,0.226644,0.180451,0.263668,0.000667,0.413889,0.189204,0.252115,0.209811
all,29,acceleration_excursion_rule,0,0,0.02,0,0.055876,0,0.009333,0.011523
all,29,low_motion_rule,0,0,0,0,0.030667,0,0,0.002019
all,29,residual_rule_output,0.727187,0.617333,0.796992,0.487037,0.920455,0.683023,0.74827,0.716857
all,29,low_head_motion,0.625496,0.513818,0.670376,0.337963,0.84814,0.556969,0.649814,0.609723
all,29,ordinary_head_motion,0.349857,0.308426,0.420907,0.140496,0.562963,0.319055,0.406335,0.35248
all,29,rapid_head_motion,0.028802,0.011364,0.064862,0.002069,0.14632,0.021198,0.051071,0.037796
ADB-like,27,rapid_turn_rule,0.034409,0.020113,0.066292,0.002069,0.14632,0.021825,0.061419,0.041751
ADB-like,27,smooth_turn_rule,0,0,0,0,0,0,0,0
ADB-like,27,moderate_turn_rule,0.226687,0.182562,0.270829,0.068182,0.413889,0.189204,0.262721,0.224607
ADB-like,27,acceleration_excursion_rule,0,0,0.019425,0,0.055876,0,0,0.010992
ADB-like,27,low_motion_rule,0,0,0,0,0,0,0,0
ADB-like,27,residual_rule_output,0.727187,0.62022,0.798608,0.487037,0.920455,0.683023,0.766178,0.72265
ADB-like,27,low_head_motion,0.599481,0.502059,0.670672,0.337963,0.84814,0.525942,0.649814,0.604327
ADB-like,27,ordinary_head_motion,0.352679,0.302565,0.421113,0.140496,0.562963,0.309739,0.414553,0.353922
ADB-like,27,rapid_head_motion,0.034409,0.020113,0.066292,0.002069,0.14632,0.021825,0.061419,0.041751
browser-compatible,2,rapid_turn_rule,0.008711,0.008356,0.009067,0.008,0.009422,,,0.008638
browser-compatible,2,smooth_turn_rule,0.167,0.0835,0.2505,0,0.334,,,0.184157
browser-compatible,2,moderate_turn_rule,0.112173,0.05642,0.167926,0.000667,0.223679,,,0.100717
browser-compatible,2,acceleration_excursion_rule,0.016137,0.012735,0.019539,0.009333,0.022941,,,0.015438
browser-compatible,2,low_motion_rule,0.015333,0.007667,0.023,0,0.030667,,,0.016909
browser-compatible,2,residual_rule_output,0.680645,0.648989,0.712301,0.617333,0.743957,,,0.674141
browser-compatible,2,low_head_motion,0.648694,0.644707,0.65268,0.640721,0.656667,,,0.649513
browser-compatible,2,ordinary_head_motion,0.342595,0.338964,0.346226,0.335333,0.349857,,,0.341849
browser-compatible,2,rapid_head_motion,0.008711,0.008356,0.009067,0.008,0.009422,,,0.008638
