session_id,export_id,included,row_count,first_timestamp_s,last_timestamp_s,duration_s,median_dt_s,median_export_rate_hz,dt_iqr_s,dt_cv,duplicate_timestamp_count,nonmonotonic_timestamp_count,consecutive_identical_export_value_pair_count,consecutive_identical_export_value_pair_fraction,long_gap_threshold_s,long_gap_count,maximum_gap_s,gap_excluded_span_s,path_group,path_assignment_note,acc_range,acc_unique_4dp,acc_frozen,acc_frozen_value,acc_usable_for_excursion_rule,gyro_range,gyro_unique_4dp,gyro_frozen,gyro_usable,roll_range_deg,pitch_range_deg,yaw_range_deg,euler_frozen,euler_frozen_zero,euler_usable_for_window_rules,source_file
S001,1776821554249,true,3000,131.508,493.954,362.446,0.12,8.333333,0.01,0.061291,0,0,0,0,1,0,0.148,0,browser-compatible,Export timing is compatible with the higher-rate browser examples in the archived architecture; source was not retained.,4.814,1979,false,,true,2.6508,963,false,true,359.48,92.61,359.87,false,false,true,imu_analysis_1776821554249.csv
S002,1776754772978,false,842,0,8.41,8.41,0.01,100,0,0,0,0,193,0.229489,1,0,0.01,0,browser-compatible,Export timing is compatible with the higher-rate browser examples in the archived architecture; source was not retained.,0.6157,9,false,,true,0.01,2,false,true,359.25,11.01,48.28,false,false,true,imu_analysis_1776754772978.csv
S005,1776824662730,true,2016,0,539.451,539.451,0.267,3.745318,0.008,0.027224,0,0,3,0.001489,1.335,0,0.31,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,5.4624,1450,false,,true,2.9808,812,false,true,0,0,0,true,true,false,imu_analysis_1776824662730.csv
S006,1776825800472,true,1879,0,500.924,500.924,0.267,3.745318,0.008,0.025129,0,0,0,0,1.335,0,0.32,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,4.8346,1477,false,,true,4.9495,715,false,true,0,0,0,true,true,false,imu_analysis_1776825800472.csv
S007,1776827240332,true,1736,0,463.461,463.461,0.267,3.745318,0.008,0.024916,0,0,0,0,1.335,0,0.299,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,5.3929,1513,false,,true,4.5247,1002,false,true,0,0,0,true,true,false,imu_analysis_1776827240332.csv
S008,1776828552202,true,1860,0,497.167,497.167,0.267,3.745318,0.008,0.024767,0,0,0,0,1.335,0,0.32,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,11.1801,1337,false,,true,3.5752,678,false,true,0,0,0,true,true,false,imu_analysis_1776828552202.csv
S009,1776830107430,true,2441,0,122,122,0.05,20,0,0,0,0,12,0.004918,1,0,0.05,0,browser-compatible,Export timing is compatible with the higher-rate browser examples in the archived architecture; source was not retained.,3.4559,1616,false,,true,3.0219,907,false,true,0,0,0,true,true,false,imu_analysis_1776830107430.csv
S010,1776842825545,true,1821,0,487.41,487.41,0.266,3.759398,0.009,0.043263,0,0,0,0,1.33,0,0.379,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,6.6147,1459,false,,true,3.8684,733,false,true,0,0,0,true,true,false,imu_analysis_1776842825545.csv
S011,1776844051112,true,1638,0,439.913,439.913,0.267,3.745318,0.009,0.048323,0,0,1,0.000611,1.335,0,0.385,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,6.3917,1414,false,,true,3.3437,741,false,true,0,0,0,true,true,false,imu_analysis_1776844051112.csv
S013,1776846533989,true,1450,0,387.194,387.194,0.266,3.759398,0.008,0.040088,0,0,1,0.00069,1.33,0,0.411,0,ADB-like,Export timing is compatible with blocking Android sensorservice polling in the archived architecture; source was not retained.,3.8869,1133,false,,true,1.5657,432,false,true,0,0,0,true,true,false,imu_analysis_1776846533989.csv
