threshold_perturbation_percent,threshold_scale,path_group,n_sessions,n_samples,output,output_fraction,weighted_change_fraction_vs_nominal
-30,0.7,all,29,45560,rapid_turn_rule,0.091111,0.125878
-30,0.7,all,29,45560,smooth_turn_rule,0.025219,0.125878
-30,0.7,all,29,45560,moderate_turn_rule,0.232046,0.125878
-30,0.7,all,29,45560,acceleration_excursion_rule,0.013586,0.125878
-30,0.7,all,29,45560,low_motion_rule,0.001032,0.125878
-30,0.7,all,29,45560,residual_rule_output,0.637006,0.125878
-30,0.7,ADB-like,27,40119,rapid_turn_rule,0.098607,0.127122
-30,0.7,ADB-like,27,40119,smooth_turn_rule,0,0.127122
-30,0.7,ADB-like,27,40119,moderate_turn_rule,0.247613,0.127122
-30,0.7,ADB-like,27,40119,acceleration_excursion_rule,0.012887,0.127122
-30,0.7,ADB-like,27,40119,low_motion_rule,0,0.127122
-30,0.7,ADB-like,27,40119,residual_rule_output,0.640893,0.127122
-30,0.7,browser-compatible,2,5441,rapid_turn_rule,0.035839,0.116706
-30,0.7,browser-compatible,2,5441,smooth_turn_rule,0.211174,0.116706
-30,0.7,browser-compatible,2,5441,moderate_turn_rule,0.117258,0.116706
-30,0.7,browser-compatible,2,5441,acceleration_excursion_rule,0.018747,0.116706
-30,0.7,browser-compatible,2,5441,low_motion_rule,0.008638,0.116706
-30,0.7,browser-compatible,2,5441,residual_rule_output,0.608344,0.116706
-20,0.8,all,29,45560,rapid_turn_rule,0.068108,0.077897
-20,0.8,all,29,45560,smooth_turn_rule,0.024407,0.077897
-20,0.8,all,29,45560,moderate_turn_rule,0.227195,0.077897
-20,0.8,all,29,45560,acceleration_excursion_rule,0.012752,0.077897
-20,0.8,all,29,45560,low_motion_rule,0.001097,0.077897
-20,0.8,all,29,45560,residual_rule_output,0.66644,0.077897
-20,0.8,ADB-like,27,40119,rapid_turn_rule,0.074927,0.07904
-20,0.8,ADB-like,27,40119,smooth_turn_rule,0,0.07904
-20,0.8,ADB-like,27,40119,moderate_turn_rule,0.242254,0.07904
-20,0.8,ADB-like,27,40119,acceleration_excursion_rule,0.012064,0.07904
-20,0.8,ADB-like,27,40119,low_motion_rule,0,0.07904
-20,0.8,ADB-like,27,40119,residual_rule_output,0.670755,0.07904
-20,0.8,browser-compatible,2,5441,rapid_turn_rule,0.017828,0.069473
-20,0.8,browser-compatible,2,5441,smooth_turn_rule,0.204374,0.069473
-20,0.8,browser-compatible,2,5441,moderate_turn_rule,0.116155,0.069473
-20,0.8,browser-compatible,2,5441,acceleration_excursion_rule,0.017828,0.069473
-20,0.8,browser-compatible,2,5441,low_motion_rule,0.009189,0.069473
-20,0.8,browser-compatible,2,5441,residual_rule_output,0.634626,0.069473
-10,0.9,all,29,45560,rapid_turn_rule,0.050351,0.034943
-10,0.9,all,29,45560,smooth_turn_rule,0.022981,0.034943
-10,0.9,all,29,45560,moderate_turn_rule,0.21892,0.034943
-10,0.9,all,29,45560,acceleration_excursion_rule,0.011874,0.034943
-10,0.9,all,29,45560,low_motion_rule,0.001163,0.034943
-10,0.9,all,29,45560,residual_rule_output,0.69471,0.034943
-10,0.9,ADB-like,27,40119,rapid_turn_rule,0.05546,0.035544
-10,0.9,ADB-like,27,40119,smooth_turn_rule,0,0.035544
-10,0.9,ADB-like,27,40119,moderate_turn_rule,0.234278,0.035544
-10,0.9,ADB-like,27,40119,acceleration_excursion_rule,0.011341,0.035544
-10,0.9,ADB-like,27,40119,low_motion_rule,0,0.035544
-10,0.9,ADB-like,27,40119,residual_rule_output,0.698921,0.035544
-10,0.9,browser-compatible,2,5441,rapid_turn_rule,0.012681,0.030509
-10,0.9,browser-compatible,2,5441,smooth_turn_rule,0.192428,0.030509
-10,0.9,browser-compatible,2,5441,moderate_turn_rule,0.105679,0.030509
-10,0.9,browser-compatible,2,5441,acceleration_excursion_rule,0.015806,0.030509
-10,0.9,browser-compatible,2,5441,low_motion_rule,0.009741,0.030509
-10,0.9,browser-compatible,2,5441,residual_rule_output,0.663665,0.030509
0,1,all,29,45560,rapid_turn_rule,0.037796,0
0,1,all,29,45560,smooth_turn_rule,0.021993,0
0,1,all,29,45560,moderate_turn_rule,0.209811,0
0,1,all,29,45560,acceleration_excursion_rule,0.011523,0
0,1,all,29,45560,low_motion_rule,0.002019,0
0,1,all,29,45560,residual_rule_output,0.716857,0
0,1,ADB-like,27,40119,rapid_turn_rule,0.041751,0
0,1,ADB-like,27,40119,smooth_turn_rule,0,0
0,1,ADB-like,27,40119,moderate_turn_rule,0.224607,0
0,1,ADB-like,27,40119,acceleration_excursion_rule,0.010992,0
0,1,ADB-like,27,40119,low_motion_rule,0,0
0,1,ADB-like,27,40119,residual_rule_output,0.72265,0
0,1,browser-compatible,2,5441,rapid_turn_rule,0.008638,0
0,1,browser-compatible,2,5441,smooth_turn_rule,0.184157,0
0,1,browser-compatible,2,5441,moderate_turn_rule,0.100717,0
0,1,browser-compatible,2,5441,acceleration_excursion_rule,0.015438,0
0,1,browser-compatible,2,5441,low_motion_rule,0.016909,0
0,1,browser-compatible,2,5441,residual_rule_output,0.674141,0
10,1.1,all,29,45560,rapid_turn_rule,0.029104,0.028907
10,1.1,all,29,45560,smooth_turn_rule,0.020544,0.028907
10,1.1,all,29,45560,moderate_turn_rule,0.199956,0.028907
10,1.1,all,29,45560,acceleration_excursion_rule,0.010448,0.028907
10,1.1,all,29,45560,low_motion_rule,0.002063,0.028907
