path_group,from_output,to_output,transition_count,from_output_pair_count,row_fraction,n_sessions_with_from_output,n_sessions_with_transition
all,rapid_turn_rule,rapid_turn_rule,1112,1714,0.648775,29,28
all,rapid_turn_rule,smooth_turn_rule,4,1714,0.002334,29,1
all,rapid_turn_rule,moderate_turn_rule,469,1714,0.273629,29,28
all,rapid_turn_rule,acceleration_excursion_rule,8,1714,0.004667,29,6
all,rapid_turn_rule,low_motion_rule,0,1714,0,29,0
all,rapid_turn_rule,residual_rule_output,121,1714,0.070595,29,24
all,smooth_turn_rule,rapid_turn_rule,5,1001,0.004995,1,1
all,smooth_turn_rule,smooth_turn_rule,837,1001,0.836164,1,1
all,smooth_turn_rule,moderate_turn_rule,0,1001,0,1,0
all,smooth_turn_rule,acceleration_excursion_rule,17,1001,0.016983,1,1
all,smooth_turn_rule,low_motion_rule,0,1001,0,1,0
all,smooth_turn_rule,residual_rule_output,142,1001,0.141858,1,1
all,moderate_turn_rule,rapid_turn_rule,429,9502,0.045148,29,28
all,moderate_turn_rule,smooth_turn_rule,2,9502,0.00021,29,1
all,moderate_turn_rule,moderate_turn_rule,5843,9502,0.614923,29,28
all,moderate_turn_rule,acceleration_excursion_rule,211,9502,0.022206,29,9
all,moderate_turn_rule,low_motion_rule,0,9502,0,29,0
all,moderate_turn_rule,residual_rule_output,3017,9502,0.317512,29,28
all,acceleration_excursion_rule,rapid_turn_rule,15,525,0.028571,10,6
all,acceleration_excursion_rule,smooth_turn_rule,12,525,0.022857,10,1
all,acceleration_excursion_rule,moderate_turn_rule,151,525,0.287619,10,9
all,acceleration_excursion_rule,acceleration_excursion_rule,68,525,0.129524,10,10
all,acceleration_excursion_rule,low_motion_rule,0,525,0,10,0
all,acceleration_excursion_rule,residual_rule_output,279,525,0.531429,10,10
all,low_motion_rule,rapid_turn_rule,0,92,0,1,0
all,low_motion_rule,smooth_turn_rule,1,92,0.01087,1,1
all,low_motion_rule,moderate_turn_rule,2,92,0.021739,1,1
all,low_motion_rule,acceleration_excursion_rule,0,92,0,1,0
all,low_motion_rule,low_motion_rule,79,92,0.858696,1,1
all,low_motion_rule,residual_rule_output,10,92,0.108696,1,1
all,residual_rule_output,rapid_turn_rule,152,32455,0.004683,29,24
all,residual_rule_output,smooth_turn_rule,146,32455,0.004499,29,1
all,residual_rule_output,moderate_turn_rule,3030,32455,0.09336,29,28
all,residual_rule_output,acceleration_excursion_rule,221,32455,0.006809,29,10
all,residual_rule_output,low_motion_rule,12,32455,0.00037,29,1
all,residual_rule_output,residual_rule_output,28894,32455,0.890279,29,29
ADB-like,rapid_turn_rule,rapid_turn_rule,1089,1667,0.653269,27,26
ADB-like,rapid_turn_rule,smooth_turn_rule,0,1667,0,27,0
ADB-like,rapid_turn_rule,moderate_turn_rule,452,1667,0.271146,27,27
ADB-like,rapid_turn_rule,acceleration_excursion_rule,8,1667,0.004799,27,6
ADB-like,rapid_turn_rule,low_motion_rule,0,1667,0,27,0
ADB-like,rapid_turn_rule,residual_rule_output,118,1667,0.070786,27,22
ADB-like,smooth_turn_rule,rapid_turn_rule,0,0,0,0,0
ADB-like,smooth_turn_rule,smooth_turn_rule,0,0,0,0,0
ADB-like,smooth_turn_rule,moderate_turn_rule,0,0,0,0,0
ADB-like,smooth_turn_rule,acceleration_excursion_rule,0,0,0,0,0
ADB-like,smooth_turn_rule,low_motion_rule,0,0,0,0,0
ADB-like,smooth_turn_rule,residual_rule_output,0,0,0,0,0
ADB-like,moderate_turn_rule,rapid_turn_rule,414,8954,0.046236,27,27
ADB-like,moderate_turn_rule,smooth_turn_rule,0,8954,0,27,0
ADB-like,moderate_turn_rule,moderate_turn_rule,5513,8954,0.615702,27,27
ADB-like,moderate_turn_rule,acceleration_excursion_rule,182,8954,0.020326,27,8
ADB-like,moderate_turn_rule,low_motion_rule,0,8954,0,27,0
ADB-like,moderate_turn_rule,residual_rule_output,2845,8954,0.317735,27,27
ADB-like,acceleration_excursion_rule,rapid_turn_rule,14,441,0.031746,8,5
ADB-like,acceleration_excursion_rule,smooth_turn_rule,0,441,0,8,0
ADB-like,acceleration_excursion_rule,moderate_turn_rule,130,441,0.294785,8,8
ADB-like,acceleration_excursion_rule,acceleration_excursion_rule,60,441,0.136054,8,8
ADB-like,acceleration_excursion_rule,low_motion_rule,0,441,0,8,0
ADB-like,acceleration_excursion_rule,residual_rule_output,237,441,0.537415,8,8
ADB-like,low_motion_rule,rapid_turn_rule,0,0,0,0,0
ADB-like,low_motion_rule,smooth_turn_rule,0,0,0,0,0
ADB-like,low_motion_rule,moderate_turn_rule,0,0,0,0,0
ADB-like,low_motion_rule,acceleration_excursion_rule,0,0,0,0,0
ADB-like,low_motion_rule,low_motion_rule,0,0,0,0,0
ADB-like,low_motion_rule,residual_rule_output,0,0,0,0,0
ADB-like,residual_rule_output,rapid_turn_rule,149,28788,0.005176,27,23
ADB-like,residual_rule_output,smooth_turn_rule,0,28788,0,27,0
ADB-like,residual_rule_output,moderate_turn_rule,2852,28788,0.099069,27,27
ADB-like,residual_rule_output,acceleration_excursion_rule,191,28788,0.006635,27,8
ADB-like,residual_rule_output,low_motion_rule,0,28788,0,27,0
ADB-like,residual_rule_output,residual_rule_output,25596,28788,0.88912,27,27
browser-compatible,rapid_turn_rule,rapid_turn_rule,23,47,0.489362,2,2
browser-compatible,rapid_turn_rule,smooth_turn_rule,4,47,0.085106,2,1
browser-compatible,rapid_turn_rule,moderate_turn_rule,17,47,0.361702,2,1
browser-compatible,rapid_turn_rule,acceleration_excursion_rule,0,47,0,2,0
browser-compatible,rapid_turn_rule,low_motion_rule,0,47,0,2,0
browser-compatible,rapid_turn_rule,residual_rule_output,3,47,0.06383,2,2
browser-compatible,smooth_turn_rule,rapid_turn_rule,5,1001,0.004995,1,1
browser-compatible,smooth_turn_rule,smooth_turn_rule,837,1001,0.836164,1,1
browser-compatible,smooth_turn_rule,moderate_turn_rule,0,1001,0,1,0
browser-compatible,smooth_turn_rule,acceleration_excursion_rule,17,1001,0.016983,1,1
browser-compatible,smooth_turn_rule,low_motion_rule,0,1001,0,1,0
browser-compatible,smooth_turn_rule,residual_rule_output,142,1001,0.141858,1,1
browser-compatible,moderate_turn_rule,rapid_turn_rule,15,548,0.027372,2,1
browser-compatible,moderate_turn_rule,smooth_turn_rule,2,548,0.00365,2,1
browser-compatible,moderate_turn_rule,moderate_turn_rule,330,548,0.60219,2,1
browser-compatible,moderate_turn_rule,acceleration_excursion_rule,29,548,0.05292,2,1
browser-compatible,moderate_turn_rule,low_motion_rule,0,548,0,2,0
browser-compatible,moderate_turn_rule,residual_rule_output,172,548,0.313869,2,1
browser-compatible,acceleration_excursion_rule,rapid_turn_rule,1,84,0.011905,2,1
browser-compatible,acceleration_excursion_rule,smooth_turn_rule,12,84,0.142857,2,1
browser-compatible,acceleration_excursion_rule,moderate_turn_rule,21,84,0.25,2,1
browser-compatible,acceleration_excursion_rule,acceleration_excursion_rule,8,84,0.095238,2,2
browser-compatible,acceleration_excursion_rule,low_motion_rule,0,84,0,2,0
browser-compatible,acceleration_excursion_rule,residual_rule_output,42,84,0.5,2,2
browser-compatible,low_motion_rule,rapid_turn_rule,0,92,0,1,0
browser-compatible,low_motion_rule,smooth_turn_rule,1,92,0.01087,1,1
browser-compatible,low_motion_rule,moderate_turn_rule,2,92,0.021739,1,1
browser-compatible,low_motion_rule,acceleration_excursion_rule,0,92,0,1,0
browser-compatible,low_motion_rule,low_motion_rule,79,92,0.858696,1,1
browser-compatible,low_motion_rule,residual_rule_output,10,92,0.108696,1,1
browser-compatible,residual_rule_output,rapid_turn_rule,3,3667,0.000818,2,1
browser-compatible,residual_rule_output,smooth_turn_rule,146,3667,0.039815,2,1
browser-compatible,residual_rule_output,moderate_turn_rule,178,3667,0.048541,2,1
browser-compatible,residual_rule_output,acceleration_excursion_rule,30,3667,0.008181,2,2
browser-compatible,residual_rule_output,low_motion_rule,12,3667,0.003272,2,1
browser-compatible,residual_rule_output,residual_rule_output,3298,3667,0.899373,2,2
