reference_id,type,authors,title,journal_or_publisher,year,volume,issue,pages_or_article,doi_or_url
R01,journal,"Wodarski, Piotr; Jurkojć, Jacek; Gzik, Marek",Wavelet Decomposition in Analysis of Impact of Virtual Reality Head Mounted Display Systems on Postural Stability,Sensors,2020,20,24,7138,10.3390/s20247138
R02,journal,"Monica, Riccardo; Aleotti, Jacopo",Evaluation of the Oculus Rift S tracking system in room scale virtual reality,Virtual Reality,2022,26,4,1335-1345,10.1007/s10055-022-00637-3
R03,journal,"Palmisano, Stephen; Allison, Robert S.; Teixeira, Joel; Kim, Juno",Differences in virtual and physical head orientation predict sickness during active head-mounted display-based virtual reality,Virtual Reality,2023,27,2,1293-1313,10.1007/s10055-022-00732-5
R04,journal,"Sousa Lima, Wesllen; Souto, Eduardo; El-Khatib, Khalil; Jalali, Roozbeh; Gama, Joao",Human Activity Recognition Using Inertial Sensors in a Smartphone: An Overview,Sensors,2019,19,14,3213,10.3390/s19143213
R05,journal,"Sinha, Vikas Kumar; Patro, Kiran Kumar; Pławiak, Paweł; Prakash, Allam Jaya",Smartphone-Based Human Sitting Behaviors Recognition Using Inertial Sensor,Sensors,2021,21,19,6652,10.3390/s21196652
R06,journal,"Zhuo, Sijie; Sherlock, Lucas; Dobbie, Gillian; Koh, Yun Sing; Russello, Giovanni; Lottridge, Danielle","Real-time Smartphone Activity Classification Using Inertial Sensors—Recognition of Scrolling, Typing, and Watching Videos While Sitting or Walking",Sensors,2020,20,3,655,10.3390/s20030655
R07,journal,"Shoaib, Muhammad; Bosch, Stephan; Incel, Ozlem; Scholten, Hans; Havinga, Paul",Complex Human Activity Recognition Using Smartphone and Wrist-Worn Motion Sensors,Sensors,2016,16,4,426,10.3390/s16040426
R08,journal,"Vuong, Thi Hong; Doan, Tung; Takasu, Atsuhiro",Deep Wavelet Convolutional Neural Networks for Multimodal Human Activity Recognition Using Wearable Inertial Sensors,Sensors,2023,23,24,9721,10.3390/s23249721
R09,journal,"Kim, Yeon-Wook; Joa, Kyung-Lim; Jeong, Han-Young; Lee, Sangmin",Wearable IMU-Based Human Activity Recognition Algorithm for Clinical Balance Assessment Using 1D-CNN and GRU Ensemble Model,Sensors,2021,21,22,7628,10.3390/s21227628
R10,journal,"Brookes, Jack; Warburton, Matthew; Alghadier, Mshari; Mon-Williams, Mark; Mushtaq, Faisal",Studying human behavior with virtual reality: The Unity Experiment Framework,Behavior Research Methods,2020,52,2,455-463,10.3758/s13428-019-01242-0
R11,journal,"Al Borno, Mazen; O’Day, Johanna; Ibarra, Vanessa; Dunne, James; Seth, Ajay; Habib, Ayman; Ong, Carmichael; Hicks, Jennifer; Uhlrich, Scott; Delp, Scott",OpenSense: An open-source toolbox for inertial-measurement-unit-based measurement of lower extremity kinematics over long durations,Journal of NeuroEngineering and Rehabilitation,2022,19,1,22,10.1186/s12984-022-01001-x
R12,journal,"Steven Eyobu, Odongo; Han, Dong Seog",Feature Representation and Data Augmentation for Human Activity Classification Based on Wearable IMU Sensor Data Using a Deep LSTM Neural Network,Sensors,2018,18,9,2892,10.3390/s18092892
R13,journal,"Rosati, Samanta; Balestra, Gabriella; Knaflitz, Marco",Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors,Sensors,2018,18,12,4189,10.3390/s18124189
